ParkCode,LocationType,StationID,month,variable,mean,sd,N,SE,inc.10.4yr,inc.20.4yr,inc.50.4yr,inc.10.8yr,inc.20.8yr,inc.50.8yr,inc.10.12yr,inc.20.12yr,inc.50.12yr
ACAD,Lake,ACBOWL,4,Specific conductance,37.57142857,3.274946523,14,0.875266275,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,Specific conductance,32.1875,3.354703006,32,0.593033311,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,TCOLOR,5.777777778,3.523960932,18,0.830605557,0.819,0.868,0.956,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,TCOLOR,8.248684211,2.537988053,38,0.411716029,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,TN_mg/L,0.128,0.015824032,16,0.003956008,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,TN_mg/L,0.177105263,0.026542968,38,0.004305838,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,Water Temperature,10.56,1.920528773,14,0.513282905,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,Water Temperature,9.586875,1.740836724,32,0.307739363,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,ACOLOR,41.76928,14.99607015,50,2.120764578,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,ACOLOR,66.41558824,9.894788081,34,1.696942156,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,ANC,147.7638095,16.19802562,42,2.499409616,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,ANC,214.9121923,20.2960906,26,3.980390847,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,5,BP_mmHg,755.1261635,7.981645908,30,1.457242503,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,BP_mmHg,758.2066275,3.941998603,50,0.557482789,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,7,BP_mmHg,760.3383179,5.377737809,38,0.87238427,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,BP_mmHg,761.1227382,3.242916495,34,0.556155591,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,9,BP_mmHg,761.1538163,7.059188072,40,1.116155637,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,10,BP_mmHg,760.0762302,3.379705815,40,0.53437841,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,CHLA_ugL,3.80784,1.457053434,50,0.206058473,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,CHLA_ugL,4.044117647,1.61416855,34,0.276827622,0.999,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,Cl_ueqL,235.9650989,67.69482692,26,13.27604782,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,Cl_ueqL,231.0233333,100.3404956,18,23.65048161,0.964,0.98,0.998,1,1,1,1,1,1
ACAD,Lake,ACBRBK,5,DO (%),90.38666667,9.510347662,30,1.736343981,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,DO (%),76.436,28.457428,50,4.024488062,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,7,DO (%),72.12105263,28.12534836,38,4.562533981,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,DO (%),67.44705882,33.54877259,34,5.753567033,0.991,0.996,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,9,DO (%),74.255,26.595054,40,4.205047257,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,10,DO (%),87.86,13.40051281,40,2.118807115,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,5,DO_mg.L,8.732666667,0.90067765,30,0.164440489,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,DO_mg.L,7.2444,2.639520798,50,0.373284611,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,7,DO_mg.L,6.237894737,2.33844619,38,0.379346064,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,DO_mg.L,5.686470588,2.756910746,34,0.472806292,0.993,0.997,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,9,DO_mg.L,6.992,2.55469121,40,0.403932147,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,10,DO_mg.L,10.133,1.584680183,40,0.250559937,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,DOC_mgL,3.129076923,0.178113879,26,0.034931006,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,DOC_mgL,3.765,0.345134245,18,0.081348922,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,FPH,6.894380952,0.130044074,42,0.020066236,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,FPH,7.101153846,0.04471035,26,0.008768421,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,NH3_mg/L,0.011333333,0.002407717,24,0.000491473,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,NO2_mg/L,0.001,0,8,0,1,1,1,1,1,1,1,1,1
